Folio,Line,Book,Chapter,Lemma,Number,Case,Form,Morph,Pos,Rel,New Stemtype,
056r,13,1,7,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obj,etymological,
062v,4,1,8,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
067v,11,1,9,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
084r,26,1,12,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
103v,20,1,16,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,atr,etymological,
116r,26,1,19,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
132v,11,2,23,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
133v,14,2,23,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
266v,25,3,47,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,narg,etymological,
275r,13,3,48,имѧ,Singular,Genitive,и҅мени,-s---ng--i,Nb,atr,analogical,
025r,27,1,3,камꙑ,Singular,Genitive,камени,-s---mg--i,Nb,obl,analogical,
078v,24,1,11,камꙑ,Singular,Genitive,камене,-s---mg--i,Nb,obj,etymological,
088r,6,1,14,камꙑ,Singular,Genitive,камене,-s---ng--i,Nb,obl,etymological,
226r,22,3,40,камꙑ,Singular,Genitive,камене,-s---mg--i,Nb,obl,etymological,
226r,23,3,40,камꙑ,Singular,Genitive,камене,-s---mg--i,Nb,obl,etymological,
012v,21,1,3,корень,Singular,Genitive,корене,-s---mg--i,Nb,xobj,etymological,
049v,16,1,6,корень,Singular,Genitive,корене,-s---mg--i,Nb,obl,etymological,
179r,8,3,31,корень,Singular,Genitive,корене,-s---mg--i,Nb,obl,etymological,
179r,15,3,31,корень,Singular,Genitive,корене,-s---mg--i,Nb,obl,etymological,
179r,17,3,31,корень,Singular,Genitive,корене,-s---mg--i,Nb,obl,etymological,
179r,18,3,31,корень,Singular,Genitive,корене,-s---mg--i,Nb,obl,etymological,
014v,2,1,3,племѧ,Singular,Genitive,племене,-s---ng--i,Nb,xobj,etymological,
174r,12,3,30,племѧ,Singular,Genitive,племене,-s---ng--i,Nb,obl,etymological,
021v,19,1,3,сѣмѧ,Singular,Genitive,сѣмене,-s---ng--i,Nb,obl,etymological,
120v,17,2,20,сѣмѧ,Singular,Genitive,сѣмене,-s---ng--i,Nb,obl,etymological,
122r,4,2,20,сѣмѧ,Singular,Genitive,сѣмене,-s---ng--i,Nb,obl,etymological,
174r,11,3,30,сѣмѧ,Singular,Genitive,сѣмене,-s---ng--i,Nb,obl,etymological,
198v,1,3,35,сѣмѧ,Singular,Genitive,сѣмене,-s---ng--i,Nb,obl,etymological,
252r,28,3,44,сѣмѧ,Singular,Genitive,сѣмене,-s---ng--i,Nb,obl,etymological,
047v,6,1,6,чисмѧ,Singular,Genitive,чисмене,-s---ng--i,Nb,obl,etymological,
047v,12,1,6,чисмѧ,Singular,Genitive,чисмене,-s---ng--i,Nb,obl,etymological,
049r,1,1,6,чисмѧ,Singular,Genitive,чисмене,-s---ng--i,Nb,obj,etymological,
